#{"t_start": 1644400076.201242, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
229.162113,87,153486.969462
0,42,153503.693267
222.301486,85,153514.564055
0,8,153529.880312
30.438184,96,153536.241219
0,37,153554.785338
223.497993,79,153564.82032
0,26,153580.024184
223.055283,74,153587.900414
0,38,153602.0447
222.76023,77,153612.393945
0,9,153626.545089
0,32,153630.042618
29.671232,100,153640.321419
229.519719,86,153660.649647
227.049392,81,153678.839634
37.694068,98,153697.560595
0,23,153715.6457
223.000906,72,153723.401824
222.285422,72,153739.112356
223.145966,79,153755.009976
229.083695,87,153771.997007
222.177562,71,153789.97638
0,8,153802.614017
0,32,153806.038064
219.917997,68,153814.876851
0,6,153827.080834
27.249602,100,153832.541157
0,31,153851.414456
0,6,153858.098929
0,7,153860.104923
0,28,153863.018587
224.691935,81,153872.566137
222.499418,76,153890.41173
0,23,153904.250208
223.165762,75,153911.806073
0,41,153926.541182
223.557413,77,153936.934683
226.054274,84,153953.67195
223.654671,76,153971.326945
0,8,153985.053551
228.820314,81,153990.281965
29.477041,90,154007.635845
0,7,154023.999057
16.012838,63,154028.545038
224.822482,79,154043.199687
221.798453,69,154060.511606
221.909926,71,154075.784915
223.863833,72,154090.926669
17.322727,68,154106.064962
226.901869,81,154121.224449
0,43,154137.302146
0,38,154147.599674
224.395131,76,154158.41378
222.035484,73,154174.651244
223.536369,79,154190.586373
230.8762,98,154208.556925
0,7,154225.660769
0,6,154227.720616
0,26,154230.566236
0,6,154235.767115
25.658879,81,154240.555648
22.495382,78,154257.651696
28.486554,100,154274.726834
22.582329,74,154294.831465
0,18,154308.15138
0,21,154312.677261
226.363135,84,154320.365665
224.639783,78,154338.105295
226.282266,78,154355.165741
0,20,154369.480794
226.197582,80,154376.75041
0,25,154391.636514
0,7,154397.430755
0,12,154399.849725
223.338074,77,154405.645988
0,13,154419.56263
0,10,154422.901339
0,6,154425.313705
223.421823,73,154429.941697
0,16,154443.12653
0,11,154446.843224
227.01253,84,154452.424356
221.034686,74,154469.879575
0,23,154484.21893
0,7,154489.141779
222.45279,70,154493.621604
225.212217,83,154509.363176
223.098276,81,154527.294856
227.935531,83,154544.838118
0,22,154560.682781
0,7,154565.604446
34.319876,94,154571.522839
222.758113,73,154843.115817
223.868988,73,154858.994347
0,36,154873.537102
223.786429,78,154883.296938
0,27,154899.040818
225.680275,83,154907.993205
223.51012,80,154925.803155
0,35,154941.725226
228.018115,85,154952.623756
0,1,154976.1027
221.257009,72,154979.691721
221.183341,99,154996.404691
221.077307,77,155016.901761
24.985924,97,155034.113154
0,6,155051.788849
224.328567,98,155057.5226
0,9,155075.475489
223.537407,75,155080.781573
224.707853,81,155098.047425
27.904267,79,155116.098154
0,28,155131.634038
0,31,155138.058262
0,7,155144.557948
0,30,155147.483658
30.197352,90,155156.660097
0,1,155179.165083
0,7,155180.214738
0,30,155183.19509
0,7,155189.186047
22.246559,86,155194.333163
26.674159,86,155212.759346
