#{"t_start": 1643969569.751914, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
0,6,2382.56148
0,5,2384.372189
0,6,2386.124475
0,5,2388.344384
0,5,2390.182581
0,4,2391.847372
0,5,2393.489047
0,4,2395.481782
0,5,2397.14007
0,6,2398.801512
0,5,2400.702154
0,5,2402.592163
0,6,2404.298852
0,5,2406.237356
0,6,2408.041488
0,5,2410.092237
0,5,2411.832884
0,5,2413.720804
0,5,2415.211019
0,5,2416.916921
0,4,2418.711337
0,4,2420.325824
0,6,2421.899146
0,6,2423.885217
0,4,2425.845874
0,5,2427.366694
0,5,2428.92086
0,6,2430.876953
0,5,2432.690486
0,6,2434.424609
0,5,2436.461931
0,5,2438.254445
0,5,2440.144698
0,5,2441.789252
0,5,2443.665227
0,5,2445.480165
0,6,2447.277594
0,6,2449.329565
0,5,2451.012787
0,6,2452.57223
0,6,2454.3447
0,5,2456.193157
0,6,2458.140258
0,5,2460.080176
0,5,2461.985358
0,5,2464.035169
0,4,2465.811517
0,4,2467.254889
0,5,2468.981693
0,6,2470.748535
0,5,2472.583035
0,5,2474.260295
0,4,2475.886255
0,6,2477.20575
0,4,2479.069899
0,5,2480.744796
0,5,2482.662337
0,4,2484.487294
0,6,2486.024075
0,4,2488.034173
0,4,2489.580275
0,5,2490.972368
0,6,2492.857229
0,5,2494.7268
0,6,2496.507729
0,4,2498.350863
0,5,2499.992385
0,5,2501.72885
0,5,2503.384819
0,5,2505.172421
0,5,2506.914063
0,5,2508.503534
0,6,2510.238177
0,5,2512.081543
0,5,2513.658261
0,6,2515.470635
0,4,2517.4418
0,5,2518.932049
0,5,2520.789621
0,5,2522.669548
0,5,2524.481841
0,5,2526.307356
0,6,2528.074025
0,5,2530.116024
0,5,2531.839969
0,6,2533.569337
0,6,2535.492143
0,5,2537.437151
0,6,2539.410053
0,6,2541.307471
0,5,2543.392538
0,5,2545.064741
0,6,2547.008152
0,5,2548.754025
0,8,2550.488609
0,6,2553.048599
0,6,2555.258601
0,5,2557.108412
0,5,2558.647856
0,5,2560.435061
0,5,2562.319579
0,4,2564.10872
0,7,2565.685878
0,5,2567.843409
0,6,2569.573587
0,5,2571.362186
0,7,2573.335765
0,4,2575.470608
0,8,2576.864813
0,5,2579.614569
0,6,2581.449803
0,6,2583.221174
0,5,2585.062697
0,4,2586.764736
