#{"t_start": 1644673223.226227, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
3.029414,100,6163.648399
6.259869,83,6183.949967
225.740115,91,6202.043164
32.144463,100,6222.74652
227.777203,89,6243.472157
17.600511,100,6262.382558
227.807638,96,6283.55652
225.704708,92,6303.527243
27.753028,94,6323.331873
0.055129,100,6343.372275
15.805073,85,6365.408561
25.88047,100,6383.569903
28.18671,100,6404.755929
1.419893,100,6426.03213
2.532198,100,6447.243549
12.629595,99,6468.226443
217.328104,98,6488.636605
0.953096,100,6509.194355
4.623723,100,6531.787785
228.290771,94,6552.930061
25.646743,100,6572.963466
25.357156,100,6593.018545
24.942659,100,6614.635609
225.369901,85,6634.811332
32.071758,100,6654.412227
27.032952,100,6675.568891
29.048884,100,6696.894877
19.168502,100,6717.921669
26.385162,95,6739.427425
26.166757,96,6760.095434
31.422692,98,6780.064158
221.168219,80,6799.883306
14.926284,91,6817.600643
219.044522,88,6836.042289
25.921144,88,6854.697828
225.552821,91,6874.028125
226.585225,84,6892.706904
225.229438,78,6910.955915
226.828989,88,6927.576297
9.411298,100,6946.754088
1.815369,100,6967.674997
219.673954,79,6987.725253
225.009185,79,7004.209984
24.246459,100,7021.606875
24.735174,100,7042.609888
30.263751,100,7063.722255
225.44951,90,7085.011363
30.411142,93,7104.334006
224.057153,77,7122.881235
32.284877,100,7140.369374
226.475892,90,7160.78266
225.826962,92,7182.350099
16.949089,100,7202.992024
12.200846,100,7224.0932
229.831354,97,7245.227092
26.264003,94,7265.538827
30.687434,100,7285.915387
227.061988,100,7307.960367
25.901878,99,7330.355503
221.65561,87,7353.182859
222.794143,86,7371.727076
221.99776,90,7391.376138
30.587789,100,7411.791579
30.181013,100,7434.21924
225.230567,82,7455.111972
11.276154,61,7472.177276
26.447266,100,7487.430667
14.237766,100,7509.003588
18.755419,94,7530.347795
227.953468,94,7550.50221
220.250622,74,7570.166218
24.051684,90,7586.498178
227.348116,83,7605.898468
225.585633,91,7624.697976
223.744127,90,7644.332479
23.016585,90,7663.240036
23.375527,100,7682.674393
223.79889,77,7702.955493
24.097312,78,7719.782139
224.501193,82,7739.021172
24.719309,90,7757.520969
30.779718,100,7776.833213
28.776035,100,7798.228197
28.427204,96,7819.078569
223.974629,88,7839.100682
229.089748,97,7857.960363
24.379487,89,7878.903147
23.314724,100,7898.288931
21.360727,82,7919.344818
224.190117,81,7937.050974
23.646169,82,7954.279703
0,9,7969.985486
25.109757,100,7975.964323
224.780414,95,7997.354493
17.619058,78,8016.696641
28.548606,97,8034.232021
24.667307,100,8054.752706
216.372087,77,8073.940906
20.31841,85,8090.82798
28.933923,98,8109.59792
227.229696,89,8130.422659
16.074436,71,8148.4639
227.938851,97,8164.974839
223.370017,86,8185.527423
224.81473,79,8203.808531
28.629888,100,8221.52617
26.954812,100,8242.714294
222.572549,87,8263.289344
28.718121,100,8282.311595
217.876998,76,8302.527832
228.191431,100,8319.854971
30.330045,100,8340.918916
27.511234,100,8362.538833
227.237615,95,8383.433367
223.83862,84,8402.970731
218.995338,78,8421.15755
0,12,8435.389627
22.361505,100,8441.822124
224.494832,79,8462.618246
222.651972,75,8479.406065
26.737193,100,8496.431952
25.914533,100,8517.400922
0,8,8534.693175
27.921343,96,8540.139556
28.917994,100,8560.535908
23.428605,91,8581.28335
224.104433,82,8600.355764
221.609191,83,8617.890076
24.512594,87,8635.670671
29.84686,100,8654.675209
0,11,8672.035331
229.772118,99,8678.314325
29.108298,100,8699.071834
19.556235,100,8719.71611
221.524568,72,8740.069634
19.636786,100,8756.602287
221.399771,75,8777.129053
20.3764,74,8792.878354
222.596789,84,8809.251985
23.48384,79,8827.149365
19.7252,72,8843.631772
228.224572,98,8860.236039
19.00463,78,8880.061066
220.206233,71,8896.642451
0,9,8909.28983
28.865627,100,8915.942856
222.052123,75,8936.110743
224.094346,80,8952.153609
220.404614,76,8969.439371
222.121683,80,8985.474361
219.780909,74,9002.253904
20.042674,70,9018.044472
17.836682,86,9034.257927
220.462192,76,9051.752651
221.813481,80,9328.978539
226.63433,87,9346.467109
29.93915,100,9365.243127
223.724655,75,9385.732785
32.242586,100,9402.753461
27.637529,100,9423.836747
0,8,9441.550824
0,7,9443.871441
0,6,9446.221061
26.911833,97,9451.684777
227.120613,95,9472.25694
222.495919,76,9491.603054
17.71352,76,9508.227803
28.294223,100,9525.319394
29.410663,99,9546.294973
30.380352,100,9567.169904
0,14,9585.465967
220.88501,78,9591.50995
231.682994,99,9608.800026
30.870208,100,9629.93365
219.496917,71,9649.579898
223.454444,80,9665.001579
31.281949,100,9683.042997
18.054179,74,9703.733992
221.941763,78,9719.60995
20.472602,89,9736.872373
28.835134,100,9756.566391
0,8,9774.518647
222.251966,80,9779.412717
227.531115,93,9797.484678
0,9,9814.321688
0,10,9817.087854
33.626672,100,9823.140936
27.254652,100,9844.382088
0,7,9862.030234
30.442482,100,9867.558843
222.416247,76,9887.846464
232.056806,95,9904.847484
0,7,9922.097953
31.342862,100,9927.57822
224.252019,87,9948.336145
226.639996,91,9967.25648
0,11,9983.413948
19.490891,75,9989.053398
0,14,10003.241744
217.420584,69,10008.906754
224.414905,79,10024.374991
229.153909,98,10042.061083
221.784194,78,10062.152597
222.420829,86,10079.564772
27.481227,100,10097.908802
0,10,10115.685236
0,7,10118.522441
0,6,10120.845464
225.775571,83,10125.742911
222.328989,77,10142.930713
221.909399,78,10159.588115
222.012617,75,10175.889814
221.788261,77,10192.076689
0,12,10206.347595
217.432093,67,10211.58626
223.24495,77,10227.157947
226.027708,96,10245.070921
26.542193,100,10265.618719
224.969635,97,10288.686599
0,11,10306.259171
26.745796,100,10313.550034
219.823217,70,10334.716047
28.235295,100,10351.178992
34.491848,100,10373.08706
219.193514,75,10393.761898
24.038622,100,10411.014469
221.430356,71,10431.061141
23.172395,92,10447.747847
0,12,10464.805847
226.942158,76,10470.892346
225.25078,94,10488.559234
0,29,10506.270967
0,29,10513.32585
216.857704,70,10522.349346
224.663756,81,10538.266267
223.224539,81,10555.620439
215.163272,65,10572.757177
224.078862,72,10587.391488
19.21272,72,10603.588007
229.030214,93,10620.144701
223.18932,83,10641.009871
229.421326,98,10658.923705
31.114165,100,10679.733021
21.615719,89,10701.239156
227.724161,79,10719.840038
23.411142,100,10736.762729
219.470277,71,10756.485777
218.270155,70,10771.460182
0,7,10784.499407
224.481549,77,10789.20436
220.569791,72,10805.882709
222.573678,97,10822.424227
0,7,10839.223913
226.604771,90,10844.770332
19.519644,71,10862.921711
16.261572,100,10879.696537
225.465077,82,10899.992235
22.018634,100,10918.629582
0,8,10935.89481
17.505726,100,10941.992405
223.938842,78,10962.958933
20.310657,72,10979.425224
220.931401,87,10995.634947
220.65438,92,11014.865094
24.28575,75,11033.844247
23.559187,82,11050.282437
0,37,11066.025424
4.043197,79,11076.656605
28.899004,94,11094.455617
225.205578,79,11114.017718
0,8,11128.428474
5.280962,78,11133.554196
31.762115,87,11151.100842
4.566315,87,11169.249721
222.270653,81,11187.538636
22.336667,100,11204.979736
0,55,11224.558053
223.330591,81,11237.919985
0,8,11252.184279
23.916592,100,11258.289984
23.304198,100,11279.418319
41.50191,100,11301.746055
0,8,11320.667948
0,26,11323.799644
17.387944,100,11332.941241
223.534119,82,11353.761449
13.643476,97,11372.756842
21.072529,100,11394.051342
216.95157,68,11414.15659
218.495927,77,11429.620359
31.442019,100,11446.852003
0,24,11465.340105
26.416211,84,11473.615276
0,23,11489.63597
26.46781,100,11498.394097
27.69282,100,11519.832869
217.489548,66,11539.902373
0,21,11552.792085
227.764283,99,11561.030895
9.796127,83,11582.660697
31.136335,100,11601.546919
29.839983,100,11622.678351
26.245208,91,11643.661871
0,7,11660.157915
221.687456,81,11664.911658
28.536272,100,11683.527029
18.971873,100,11705.164829
27.820577,81,11725.675665
26.829595,100,11743.626799
225.644162,93,11764.978116
34.231479,98,11784.93881
0,7,11802.042698
0,6,11804.091528
221.145524,79,11808.911983
225.423632,86,11825.896693
21.504311,100,11844.464934
24.068324,100,11864.663421
220.864394,80,11885.855677
26.437431,100,11904.470809
26.815907,100,11926.426166
17.364818,71,11946.688859
220.185745,76,11962.463221
29.396745,92,11979.525486
218.108281,76,11999.207437
25.013976,88,12015.312164
217.038606,74,12033.622013
22.011188,87,12050.211385
221.492946,80,12068.562515
223.572528,91,12086.102628
17.834684,95,12105.721859
0,6,12122.17979
225.180257,78,12126.925802
0,7,12391.937505
20.860187,83,12397.183289
226.155481,94,12415.179149
219.765716,71,12434.15275
20.220353,88,12451.431119
0,7,12467.462893
