#{"t_start": 1644220734.8411236, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
0.096518,100,9040.064408
7.7e-05,100,9060.491739
3.641747,100,9080.58072
2.148079,100,9101.44355
0.22531,100,9122.663316
0.43997,100,9143.634341
0.677349,100,9165.307166
0,100,9185.583595
1.633747,100,9207.479104
1.512518,100,9227.831928
10.486641,100,9249.035607
0,100,9270.596407
0.153929,94,9292.507463
0.252432,100,9312.995088
9.544844,100,9333.875388
8.60309,100,9354.798603
0.880261,92,9375.584962
9.910053,100,9395.731878
0.045294,92,9416.42591
10.413477,100,9436.965135
2.392058,100,9458.845676
8.165894,100,9480.123354
0,95,9500.391885
6.044776,92,9520.567456
5.307902,97,9785.805452
0,88,9806.103603
7.507244,100,9825.455917
0,88,9845.669806
0.279914,100,9864.957071
6.043533,100,9885.922125
0.021609,98,9906.55319
0.218299,100,9927.734951
0,100,9948.481893
0,13,9966.206479
6.661907,100,9972.930783
0,99,9993.937511
9.148119,100,10015.201183
7.753327,100,10036.385845
0.16055,100,10057.123113
0,84,10077.806952
11.836332,100,10096.435497
0,87,10116.744693
0,24,10133.784406
0,15,10138.719685
0,17,10142.339996
0,86,10149.214421
9.721647,100,10168.190758
11.558691,100,10189.339004
7.845259,94,10209.976273
11.27213,100,10230.299933
0,100,10251.493447
0,100,10272.479441
0,93,10293.167909
0,100,10313.022416
10.709746,100,10334.051342
1.641532,100,10356.258092
12.115619,100,10377.738108
10.758987,100,10399.266159
8.457728,94,10420.864096
0.212325,100,10440.949022
3.272848,89,10461.651108
0,100,10480.943588
9.347973,100,10502.832847
0,85,10523.906137
2.833627,100,10542.948263
7.468679,100,10564.377094
7.770683,100,10586.281815
10.981599,96,10608.224475
0,100,10629.24905
6.31288,100,10650.718632
0,96,10671.972426
0,96,10692.77877
11.135511,100,10713.77283
5.530704,85,10734.585268
0,100,10753.746319
0,90,10775.29563
11.116582,100,10794.87413
0,94,10816.189031
6.784847,100,10836.470395
0.048407,78,10856.657866
0.057042,100,10874.379309
1.691213,92,10895.170846
8.611943,100,10916.023606
0,82,10937.325876
0,100,10955.077587
16.362479,100,10976.389854
0.014016,98,10999.2273
0,74,11019.720941
9.733385,100,11039.981606
8.158213,100,11062.037484
0,94,11084.457349
11.453407,100,11104.478814
1.063386,100,11126.627521
0,68,11146.314293
0.975375,100,11163.189889
0.126078,100,11184.757177
0,37,11202.924693
0.151375,96,11214.813096
0.049601,87,11235.330837
11.074947,100,11255.486009
9.878692,100,11278.506105
0,87,11300.626136
0,56,11319.039574
0.030673,90,11333.273872
0.221515,100,11353.801919
0,53,11374.35652
1.518103,81,11389.183321
0,67,11405.933166
0,65,11420.389122
0.017451,93,11436.362078
0,100,11456.74197
2.433235,97,11478.378438
0.575119,100,11499.38531
0,90,11519.657165
0.832017,92,11539.781786
0,91,11559.668144
0,79,11578.325401
0,100,11596.617758
0,100,11618.179272
0,100,11639.526595
1.179407,78,11660.486913
0,72,11677.277628
0,100,11694.256567
0,69,11714.625035
0,89,11731.135271
0,100,11750.370077
0,62,11770.141916
0,100,11786.345354
0,100,11807.930977
0,100,11830.241782
0,60,11850.676893
0,67,11865.120607
0,62,11879.911829
0,67,11895.021403
0,65,11909.974001
0,60,11924.536131
0,65,11938.488585
0,65,11953.263248
0,90,11969.534745
0,64,11988.347414
0,93,12003.717631
0,64,12022.834398
0,62,12037.57563
0,66,12051.810641
0,81,12067.139808
0,62,12084.642313
0,63,12098.378241
0,100,12114.074159
0,75,12134.128227
0,64,12151.045098
0,62,12165.177678
0,63,12179.284486
0,61,12193.695821
0,65,12207.711599
0,62,12222.30487
0,62,12237.172034
0,69,12251.715719
0,63,12267.303306
0,64,12281.706921
0,76,12296.835418
0,67,12312.876501
0,69,12327.927734
2.581335,69,12343.539645
0,66,12358.584239
0,23,12371.865266
0,82,12379.498655
5.725784,83,12397.463804
0,29,12413.036289
0,77,12422.093259
5.994603,100,12440.952584
0,62,12462.150327
6.422723,82,12477.400089
0,77,12497.513783
3.61992,78,12515.760764
0,69,12534.39612
4.916384,79,12551.977132
0,76,12569.981381
0,63,12587.040315
9.340236,92,12602.86395
0,70,12622.483041
0,31,12636.724358
5.704043,79,12646.152746
0,86,12664.173343
0,95,12683.976062
0,65,12703.928698
4.118775,76,12719.747687
0,68,12736.928866
0,45,12751.587923
0,63,12762.611289
0,68,12777.466299
0,81,12793.453169
0,44,12809.980158
0.90716,71,12821.425367
0.022636,70,12837.250636
0,80,12853.625612
0,72,12871.393533
0,71,12889.199384
2.830601,73,12905.099972
5.820699,80,12922.188086
0,69,12939.562804
5.868655,83,12955.955572
4.603517,84,12974.068414
0,28,12990.611683
0,100,13000.71731
0,100,13022.0044
0,27,13040.631746
2.782187,75,13049.118288
2.726578,98,13067.658336
2.484433,82,13088.903171
0,23,13105.281367
0,39,13111.898109
0.525612,80,13123.05663
0,35,13139.177026
0,29,13146.961978
1.600145,77,13155.771633
0,100,13173.669754
3.403898,82,13194.60228
0.755474,89,13213.223846
0,38,13231.213387
0.451754,85,13241.626439
0,30,13258.703025
0,20,13265.314061
0,34,13270.548271
0,90,13280.464475
0,53,13299.526927
0,41,13310.939553
0,35,13320.015291
0,89,13330.446986
3.485125,81,13348.903666
0,82,13367.389352
0,56,13383.79201
0,48,13395.723812
7.414574,92,13408.422787
0,100,13428.851947
0,100,13450.688596
0,44,13470.074718
0.054294,79,13481.820781
1.749404,93,13499.259839
0,53,13518.30505
0,47,13529.691477
0,42,13540.141586
0,22,13549.250577
1.290876,100,13557.459769
4.921243,100,13578.558408
4.959365,100,13600.76679
1.385154,94,13622.075815
0,31,13639.953974
0.549178,100,13650.341451
1.694574,100,13671.943534
0,100,13693.802301
0.075445,100,13714.594834
3.198971,100,13736.144962
5.805227,100,13757.605193
3.748906,100,13779.478268
4.285447,100,13801.636265
8.511779,100,14078.409761
5.113208,100,14099.596256
3.657952,97,14120.933598
7.644006,100,14141.460056
3.67805,100,14163.316389
0,7,14180.824098
9.117694,100,14186.836341
7.541483,100,14207.446532
0,89,14228.34997
0,97,14247.864221
0.703753,100,14269.102202
0,7,14287.254875
4.992526,100,14293.151963
4.329145,100,14314.066735
4.422879,100,14335.695171
3.292249,100,14357.59708
1.543935,92,14378.74854
9.586639,100,14398.367269
8.032297,100,14419.881897
3.984708,100,14441.375619
3.554406,100,14462.201615
0.935381,86,14482.986454
6.901938,100,14502.835701
5.686881,100,14523.833289
0,100,14545.932102
6.430578,100,14567.63181
0,100,14589.034503
8.49396,100,14610.943145
5.161408,100,14632.432118
9.12003,100,14654.314565
6.847158,100,14675.43709
4.4929,100,14697.100384
1.89035,100,14718.339887
5.588816,100,14739.576479
13.44093,100,14761.280655
2.775715,100,14781.835606
3.836675,100,14803.027042
5.316697,100,14825.495005
3.306726,86,14846.327172
7.033515,100,14865.317761
4.454704,100,14886.757797
3.315991,100,14909.081715
7.638451,100,14930.928338
3.838665,100,14951.98981
13.905292,100,14973.354923
6.326642,100,14994.831192
11.993768,100,15015.713591
4.087218,95,15036.590559
4.09567,100,15057.625278
1.8207,100,15079.044838
0.291909,100,15100.580293
7.255086,100,15121.643993
9.933374,100,15143.017621
0.717008,100,15163.844345
9.444528,100,15184.982367
5.349837,99,15206.47672
8.54683,100,15227.875797
3.704062,100,15249.518748
6.375362,100,15271.376556
2.445317,92,15292.259934
5.606774,100,15313.008256
4.753645,97,15334.720245
6.643049,100,15355.591887
5.390725,100,15376.748091
15.471536,100,15398.238787
14.56993,100,15419.62835
2.090225,96,15440.929013
7.861642,100,15462.140654
3.403172,80,15483.371307
9.843986,100,15501.325041
10.194526,100,15521.965286
12.561634,100,15543.644361
5.703175,97,15564.462169
8.415143,100,15585.421083
14.978722,100,15606.721972
6.471676,99,15629.32832
6.005499,100,15651.013877
8.111064,100,15673.40042
7.468389,100,15695.110675
6.970544,100,15717.391586
8.052508,100,15738.685131
6.928248,100,15760.303769
6.770389,100,15782.307914
15.095115,100,15804.300514
11.039156,100,15825.509657
0.899243,100,15846.676496
10.535819,100,15869.208528
8.510871,100,15890.349673
8.441419,86,15912.184641
7.738559,98,15931.399458
12.817077,100,15951.937144
10.590975,91,15972.925437
5.531156,91,15992.777639
9.639156,100,16012.1856
12.144819,94,16033.806501
7.319788,96,16054.562638
18.169847,100,16075.250667
9.828387,100,16096.562728
5.189143,100,16118.191021
9.780355,90,16139.470849
8.66131,97,16159.497708
7.872483,100,16180.724076
8.561294,100,16202.17487
8.593856,100,16223.971821
10.595768,100,16245.371193
3.921347,93,16266.536362
10.996018,100,16287.028761
12.8507,100,16308.140466
6.764605,92,16329.171467
11.120039,100,16349.396749
8.820402,100,16370.790708
1.396662,97,16392.084855
7.932364,95,16412.767884
5.427668,88,16432.794265
5.201928,100,16452.243957
8.901239,100,16473.827491
7.858864,100,16494.949608
9.168107,100,16516.223871
9.431025,100,16538.33974
10.947664,100,16560.205972
10.143034,100,16582.820467
10.261451,100,16605.466856
7.830014,100,16626.695447
9.901454,100,16648.042496
8.773573,100,16669.823333
6.801185,100,16691.012713
8.498771,100,16712.423637
9.245107,100,16733.28343
12.408689,100,16754.769903
12.186989,100,16776.211733
11.377942,100,16798.036216
4.492185,100,16819.262013
12.237288,100,16841.028323
13.905016,100,16861.854388
11.84817,100,16883.327494
10.131969,100,16904.056375
10.770407,100,16925.069808
10.096241,100,16946.909002
6.69543,99,16967.730781
6.716162,100,16989.2882
10.746803,100,17010.136713
9.861873,100,17031.320004
8.585203,100,17052.673198
8.656552,93,17073.42075
8.513002,98,17093.688866
10.61694,100,17114.358819
14.764826,100,17136.908235
12.712525,100,17158.089684
13.777628,100,17179.970309
11.104401,100,17201.91319
10.468107,100,17222.899089
11.189182,100,17244.083544
7.138356,100,17265.68004
11.78185,100,17287.66802
8.708029,100,17309.331764
13.839226,100,17330.847203
9.52362,100,17351.976194
8.997016,100,17373.388388
14.261177,100,17394.444773
10.86903,100,17416.607564
11.150926,100,17437.695706
13.365277,100,17459.051398
10.519884,100,17480.748465
7.025615,100,17501.665362
5.542498,88,17523.343348
9.852448,100,17544.170355
15.973601,100,17565.891122
6.006289,100,17587.077102
9.169187,100,17608.666655
12.864823,100,17629.353226
12.110738,100,17650.380411
8.482082,95,17671.57721
7.56062,100,17693.796459
10.74196,100,17715.069468
7.756365,100,17737.440454
15.675131,100,17759.128169
10.062646,100,17780.583334
14.992612,100,17801.306266
10.232395,100,17822.30903
7.260216,100,17843.322388
5.268278,100,17864.368984
7.18833,100,17885.755325
4.766667,81,17906.233564
14.675612,100,17924.419813
7.614279,100,17946.288609
13.736376,100,17967.909076
8.338242,100,17989.440259
12.101051,100,18010.742834
10.945861,100,18032.974604
16.066772,100,18054.534423
11.914384,100,18075.825806
10.944251,100,18097.632664
5.624965,100,18119.277996
9.074472,100,18139.938459
11.803516,100,18161.922238
15.326083,99,18183.85744
12.737573,100,18205.080075
9.703965,100,18226.116167
7.286274,100,18248.567373
12.8089,94,18270.508978
11.610382,100,18291.314704
14.059396,99,18312.923764
10.859426,100,18335.460416
12.832557,100,18357.320834
3.012877,87,18378.860208
6.660799,100,18397.596836
12.634558,100,18418.759194
7.834312,94,18440.035547
10.797429,100,18460.774847
18.575328,100,18482.545134
9.949871,100,18504.235161
15.425384,100,18525.982128
13.096635,100,18546.659328
15.878227,100,18568.389543
7.877481,100,18589.553255
7.176684,100,18610.782566
6.660968,100,18632.595573
11.131148,100,18654.192293
11.90002,100,18675.345998
15.67161,100,18696.457768
14.830843,100,18717.56457
3.414919,75,18738.019343
14.414312,100,18754.987772
6.601471,91,18775.438838
7.195175,99,18795.512947
6.827443,100,18815.919632
8.306006,100,18837.641737
12.659274,100,18859.237041
13.831239,100,18880.29959
8.854357,100,18901.528681
9.931925,100,18922.532042
11.197221,100,18943.867682
10.746687,100,18965.407542
10.238059,98,18986.70595
6.766394,100,19007.51587
8.747911,100,19028.744241
16.570583,100,19050.039012
10.533856,96,19070.724308
6.503197,94,19091.517221
14.198541,100,19112.245068
8.917409,95,19132.774256
9.567127,100,19153.20804
14.294653,100,19174.508469
7.818309,100,19194.829986
8.165323,100,19216.773856
7.23055,100,19237.778373
7.058073,100,19259.881185
9.758344,94,19280.502757
6.546333,100,19300.387063
10.070335,100,19322.910722
11.174406,96,19344.37558
8.009435,100,19364.780267
9.372107,100,19386.806231
8.773936,100,19407.85082
17.660193,100,19429.612565
7.98847,100,19450.290671
10.908902,100,19471.581026
12.369955,100,19493.100609
11.15184,100,19516.188513
15.962148,100,19540.975403
16.448837,100,19563.649116
5.928304,100,19586.001016
8.900503,100,19607.370961
12.739137,91,19628.897535
19.054981,96,19648.747447
10.268781,100,19671.77504
9.495314,100,19694.187907
13.501887,100,19716.358861
9.174913,100,19737.590216
8.944596,100,19759.314399
13.985507,100,19781.100099
11.009886,100,19803.659171
9.219571,89,19824.492822
3.36185,86,19843.895798
5.866734,100,19862.984113
10.99554,94,19884.035523
11.510588,100,19904.264849
10.433098,96,19925.764972
7.847004,93,19946.508795
8.282732,100,19967.324343
13.670249,100,19990.247134
7.406634,100,20011.824068
11.269454,100,20033.155691
10.170823,100,20053.931721
11.777768,100,20074.902157
12.948814,100,20095.852986
16.755531,100,20116.33142
14.325537,94,20137.006992
7.651859,100,20157.479644
14.337654,100,20178.631997
10.509686,100,20200.466901
12.69088,100,20221.271933
8.616228,100,20243.347488
9.915163,100,20265.155331
17.179154,100,20285.809529
12.398922,96,20306.227131
9.19,100,20327.259829
13.356716,99,20348.294585
9.979126,100,20369.42479
10.973421,100,20390.048582
14.412304,100,20410.755684
16.419376,100,20432.178877
13.30812,100,20453.260175
14.974148,100,20474.413359
15.109657,100,20495.665196
9.036135,100,20517.770455
9.90466,100,20538.84689
12.287206,100,20559.896437
6.961943,100,20581.008407
10.352712,100,20602.11946
9.98793,100,20622.97083
15.352174,100,20643.895114
8.812281,100,20664.899997
8.0809,100,20686.326461
8.306005,100,20707.484491
5.149847,100,20728.997998
7.425172,100,20750.205277
9.317507,100,20772.009289
10.986576,100,20793.271996
12.169084,100,20814.880992
11.054463,99,20836.621465
12.361421,100,20858.17719
14.145669,100,20879.156193
14.417674,100,20900.905446
12.821729,100,20922.059776
12.328019,100,20943.51308
13.479651,100,20964.713706
13.689655,100,20985.455559
13.254045,100,21007.596092
5.605119,100,21028.074378
6.988227,100,21049.51235
8.959444,100,21070.452082
13.4007,99,21091.550661
11.078291,100,21113.34677
9.118614,100,21134.340988
0,71,21154.976377
8.383048,100,21171.320912
15.962697,100,21192.419447
12.818423,100,21213.878006
13.997362,100,21235.568085
9.166784,100,21256.998827
2.458285,90,21278.310716
18.704959,100,21298.239232
8.400393,100,21319.331571
9.149149,100,21340.490571
10.618184,100,21361.539666
8.627677,100,21382.82818
14.306693,100,21403.881746
8.955466,100,21425.183702
8.929988,100,21446.22839
13.170193,100,21467.334691
6.409059,100,21488.281703
11.52406,100,21509.564806
15.289418,100,21529.893373
11.039765,98,21551.023564
10.7174,100,21572.409281
11.138048,100,21593.405701
10.725815,100,21614.122129
8.364223,100,21635.053668
12.906984,100,21655.962781
1.85273,95,21677.189725
13.500692,100,21697.602439
8.263631,100,21718.538792
10.695635,87,21739.663407
14.317272,100,21760.05523
12.908969,100,21782.739734
12.262534,100,21804.60784
11.350271,100,21826.774013
14.651085,95,21849.148432
11.123616,100,21871.376229
7.170023,99,21893.909103
9.231291,100,21914.723781
12.747375,95,21935.874205
11.890684,100,21956.102304
12.812461,100,21977.336868
10.634675,100,21998.882196
14.561513,99,22020.365709
9.255486,100,22041.298713
8.710603,100,22061.936727
12.817357,100,22082.823137
11.499032,100,22103.624554
7.84046,100,22124.247164
8.714039,100,22145.892978
10.221333,100,22167.16137
8.292439,100,22190.836049
9.574679,100,22212.475896
15.971234,100,22233.231658
12.42642,100,22254.210161
15.481142,100,22275.452166
13.773853,100,22297.229531
11.515507,100,22318.535865
11.732059,100,22339.786865
11.838567,100,22360.636138
16.015587,100,22382.105928
11.325422,100,22403.64416
13.163285,99,22424.763553
10.571787,100,22446.042419
9.705494,100,22467.671546
9.878819,100,22488.953463
7.525283,100,22509.566295
13.555111,100,22530.436584
12.60839,100,22551.657844
10.224806,100,22573.119814
8.575684,100,22594.273332
10.731393,100,22615.892084
12.508813,100,22636.883951
10.652547,100,22658.129944
8.938871,100,22678.712043
11.898819,100,22699.844605
15.834029,100,22721.258122
10.656187,100,22742.183623
11.499569,100,22763.234577
13.208417,100,22784.315656
7.852835,100,22805.908563
12.964251,100,22826.702382
11.891665,100,22848.049309
17.214792,100,22870.00583
11.562919,100,22891.442447
10.327031,100,22912.611593
9.153265,100,22933.965787
10.983563,100,22955.198072
10.305773,100,22976.415625
15.096429,100,22997.722412
10.431391,100,23018.80283
11.530852,100,23039.898497
0,1,23057.039381
14.013649,100,23061.694953
12.382413,100,23082.958658
9.495261,100,23104.359243
14.130021,100,23125.724503
4.963401,86,23146.681955
9.980465,100,23166.011033
8.982652,100,23187.698138
10.645487,100,23208.626119
14.373293,100,23229.968452
10.436398,100,23251.127495
10.32064,100,23272.111608
5.544484,100,23292.620039
8.935711,100,23313.95474
11.363501,100,23335.681939
