#{"t_start": 1643653368.48495, "env_id": "ShelfEnvironmentPositioningURSim-v0"}
r,l,t
-41.557678,50,150320.936906
-40.2902,50,150338.86534
-50.909613,50,150358.470341
-56.152548,50,150377.97793
-44.774932,50,150396.381615
-57.325952,50,150425.605891
-50.656313,50,150443.99552
-54.829241,50,150467.11183
-37.423342,50,150500.7672
-55.721956,50,150524.305101
-46.494508,50,150550.183489
-39.853128,50,150580.308779
-54.274435,50,150612.832484
-40.359577,50,150636.021957
-36.891656,50,150666.052349
-45.018092,50,150684.765901
-53.162162,50,150704.916218
-39.90519,50,150732.970901
-42.02112,50,150756.837751
-48.42095,50,150779.142535
-39.525876,50,150796.282292
-60.512345,50,150820.493762
-31.756852,50,152768.50336
-59.136529,50,152788.185196
-38.655686,50,152824.239473
-46.837678,50,152860.042751
-49.471438,50,152891.498937
-62.366145,50,152918.416399
-55.416051,50,152940.893358
-67.818187,50,152963.759095
-36.338918,50,152991.379437
-65.289876,50,153023.202768
-31.130666,50,153061.801874
-34.780726,50,153100.300858
-39.68906,50,153131.629911
-45.82489,50,153160.212989
-55.648511,50,153183.052014
-49.482528,50,153223.227059
-70.97826,50,153262.876452
-39.041816,50,153296.189271
-65.441711,50,153325.793459
-56.636248,50,153351.121327
-43.198406,50,153373.270759
-52.34284,50,153399.091442
-58.324107,50,153421.610271
-37.705574,50,153452.189615
-43.616815,50,153504.083548
-64.912688,50,153543.329948
-38.352799,50,153571.464622
-64.065092,50,153600.211356
-61.984333,50,153632.566764
-58.704318,50,153700.283275
-41.198374,50,153752.02017
-32.26129,50,153783.530485
-66.168591,50,153813.492613
-60.204277,50,153843.700044
-62.427563,50,153872.766593
-70.315839,50,153891.242553
-61.828603,50,153913.894394
-61.654316,50,153933.732111
-73.77027,50,153965.2424
-31.594712,50,153999.942718
-39.918569,50,154026.071151
-60.702877,50,154053.321043
-58.876176,50,154084.890944
-33.059541,50,154122.008379
-69.378135,50,154160.540636
-41.732132,50,154194.168592
-43.709601,50,154221.706653
-56.57104,50,154251.660716
-39.586943,50,154281.085181
-74.491363,50,154315.027429
-38.631106,50,154350.240031
-33.878564,50,154374.066037
-33.610179,50,154408.003973
-67.999165,50,154438.036054
-68.610456,50,154462.471049
-35.081676,50,154484.671071
-73.561356,50,154509.688766
-37.907158,50,154529.202542
-43.531996,50,154552.87419
-48.67313,50,154582.481797
-44.501665,50,154616.285358
-39.346711,50,154646.016643
-62.897038,50,154681.441809
-60.955358,50,154712.924868
-43.14703,50,154735.555851
-67.874402,50,154767.686912
-53.944565,50,154795.217373
-71.354819,50,154829.026924
-71.355633,50,154854.611772
-40.834307,50,154886.703881
-35.993687,50,154910.872653
-39.074532,50,154938.499617
-46.521447,50,154961.270902
-73.704743,50,154988.509865
-44.579404,50,155019.355413
-39.143267,50,155043.435845
-66.637405,50,155064.094261
-36.22126,50,155089.474784
-51.217522,50,155116.634406
-43.910182,50,155154.84449
-63.016083,50,155186.027379
-37.126078,50,155212.576198
-42.926188,50,155231.751506
-36.718093,50,155261.458702
-47.454961,50,155290.98846
-44.40305,50,155313.968836
-46.453368,50,155339.886148
-36.329833,50,155371.423037
-40.662721,50,155402.846697
-38.233065,50,155426.160512
-48.138474,50,155449.21189
-40.033584,50,155486.15437
-47.455504,50,155519.787784
-49.866949,50,155553.404203
-46.289604,50,155588.906378
-53.477067,50,155613.367137
-46.991614,50,155635.675297
-32.93234,50,155655.435236
-52.07981,50,155675.77856
-51.207633,50,155703.631518
-48.475535,50,155732.020569
-35.65975,50,155752.514331
-50.390534,50,155775.08788
-41.393985,50,155800.156481
-57.574722,50,155829.022927
-48.660212,50,155848.561743
-45.018222,50,155866.620778
-35.549453,50,155888.408024
-52.690276,50,155913.654785
-34.236604,50,155945.004472
-36.531128,50,155968.234582
-49.824263,50,155997.582683
-45.394746,50,156016.151857
-40.191756,50,156047.713732
-49.239199,50,156066.285879
-55.490113,50,156092.553177
-52.376801,50,156121.209125
-54.644257,50,156156.315483
-45.850144,50,156177.435354
-33.536309,50,156209.559421
-39.54701,50,156238.336324
-44.678283,50,156258.767265
-38.438017,50,156277.254771
-34.618157,50,156314.496994
-49.503869,50,156332.956697
-54.027399,50,156352.466876
-49.36583,50,156374.283714
-43.315451,50,156397.186039
-46.084589,50,156414.674195
-36.706434,50,156433.357245
-37.926435,50,156466.227866
-40.026058,50,156494.32771
-41.105825,50,156512.055989
-50.331647,50,156543.084905
-36.508289,50,156563.301403
-42.001857,50,156587.758644
-39.128501,50,156607.526144
-49.546418,50,156630.54795
-44.801526,50,156659.961961
-35.885483,50,156696.906123
-48.163761,50,156723.97179
-43.912216,50,156740.533303
-41.822027,50,156762.896484
-40.322906,50,156789.955252
-56.604159,50,156812.059527
-48.204284,50,156830.36111
-46.873305,50,156847.295183
-48.251256,50,156867.854089
-46.039597,50,156895.592796
-52.464238,50,156923.989053
-49.543972,50,156943.488455
-44.97005,50,156960.832645
-50.894121,50,156999.004344
-35.073434,50,157025.093839
-49.681896,50,157044.373825
-39.010868,50,157089.098066
-46.540899,50,157118.525801
-42.984238,50,157151.636967
-44.773874,50,157179.16103
-38.068562,50,157207.428086
-43.270452,50,157228.078884
-41.65297,50,157260.312369
-40.881956,50,157289.822551
-43.912426,50,157317.397233
-41.306849,50,157339.755019
-37.095599,50,157372.761554
-35.912167,50,157398.708186
-35.497267,50,157423.769475
-42.484072,50,157451.500718
-40.449741,50,157476.819249
-50.10172,50,157505.503964
-44.312466,50,157548.030578
-35.535577,50,157586.210967
-48.037626,50,157617.076143
-48.476272,50,157644.74508
-46.58824,50,157679.714937
-44.2767,50,157708.201804
-42.600884,50,157753.169055
-42.827016,50,157786.257757
-47.187061,50,157820.793496
-45.227766,50,157844.701213
-41.790034,50,157877.545006
-37.437985,50,157904.728379
-42.383939,50,157933.950095
-38.954624,50,157957.025255
-43.985965,50,157982.086242
-43.154527,50,158010.430111
-41.297091,50,158039.014127
-43.090235,50,158068.604122
-47.408699,50,158095.244332
-47.870924,50,158125.89355
-34.576517,50,158156.294856
-49.42672,50,158183.564635
-48.329567,50,158211.78166
-46.98862,50,158243.509912
-37.367637,50,158272.253925
-48.865784,50,158301.465463
-49.926666,50,158322.739496
-39.43846,50,158352.251236
-51.549589,50,158383.192831
-37.944885,50,158407.460398
-38.357571,50,158435.815238
-34.158469,50,158470.610315
-43.496955,50,158499.760219
-45.324064,50,158533.877181
-47.253185,50,158560.915145
-48.910606,50,158584.851378
-48.832053,50,158613.664137
-38.194413,50,158635.003957
-37.192971,50,158651.898842
-34.72395,50,158670.739804
-38.788842,50,158706.825688
-36.23218,50,158739.257031
-49.637993,50,158771.375386
-46.853292,50,158796.296486
-50.332919,50,158825.255222
-47.971517,50,158849.949783
-58.234762,50,159198.02563
-60.07521,50,159233.842735
-47.78705,50,159257.602269
-67.908194,50,159284.107932
-40.506926,50,159313.268899
-52.340878,50,159350.013538
-44.031944,50,159376.939003
-53.186876,50,159405.855371
-49.664102,50,159437.264928
-43.102139,50,159470.016266
-48.403141,50,159500.993422
-48.02832,50,159526.257886
-64.414682,50,159549.919213
-53.854406,50,159574.544498
-42.682889,50,159603.328601
-58.980178,50,159639.288618
-43.26824,50,159671.421238
-45.828511,50,159697.870479
-43.900878,50,159731.67625
-54.672601,50,159765.211092
-33.944397,50,159794.25552
-41.146185,50,159822.886919
-35.30757,50,159844.703007
-48.429687,50,159877.565327
